No.	Name	Chromosome No./Scaffold Id	BLAST (UniRef)	Gene ontology		
	Length	Scaffold Length				
1	KWMTBOMO00001	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC106648510_[Trichogramma_pretiosum]	GO:0015074	P	DNA integration
	3789 bp			GO:0003676	F	nucleic acid binding
2	KWMTBOMO00002	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC101742912_[Bombyx_mori]			
	1068 bp					
3	KWMTBOMO00003	Bomo_Chr1	PREDICTED:_anion_exchange_protein_3_isoform_X2_[Bombyx_mori]	GO:0005452	F	inorganic anion exchanger activity
	3342 bp			GO:0006820	P	anion transport
				GO:0016020	C	membrane
				GO:0016021	C	integral to membrane
				GO:0008509	F	anion transmembrane transporter activity
				GO:0005215	F	transporter activity
				GO:0006810	P	transport
4	KWMTBOMO00004	Bomo_Chr1	PREDICTED:_tyrosine-protein_kinase_Abl_isoform_X3_[Bombyx_mori]			
	1509 bp					
5	KWMTBOMO00005	Bomo_Chr1	PREDICTED:_tyrosine-protein_kinase_Abl_isoform_X1_[Bombyx_mori]	GO:0004672	F	protein kinase activity
	1839 bp			GO:0005524	F	ATP binding
				GO:0006468	P	protein amino acid phosphorylation
				GO:0005515	F	protein binding
				GO:0004713	F	protein-tyrosine kinase activity
6	KWMTBOMO00006	Bomo_Chr1	PREDICTED:_alpha-tubulin_N-acetyltransferase_1-like_isoform_X2_[Bombyx_mori]	GO:0005874	C	microtubule
	1104 bp			GO:0019799	F	tubulin N-acetyltransferase activity
7	KWMTBOMO00007	Bomo_Chr1	PREDICTED:_adenylate_cyclase_type_6_[Bombyx_mori]	GO:0009190	P	cyclic nucleotide biosynthetic process
	3831 bp			GO:0016849	F	phosphorus-oxygen lyase activity
				GO:0004016	F	adenylate cyclase activity
				GO:0005886	C	plasma membrane
				GO:0006171	P	cAMP biosynthetic process
8	KWMTBOMO00008	Bomo_Chr1	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	2715 bp					
9	KWMTBOMO00009	Bomo_Chr1	PREDICTED:_adenylate_cyclase_type_6_[Amyelois_transitella]			
	219 bp					
10	KWMTBOMO00010	Bomo_Chr1	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	2829 bp					
11	KWMTBOMO00011	Bomo_Chr1	PREDICTED:_SET_and_MYND_domain-containing_protein_4_isoform_X2_[Bombyx_mori]	GO:0005515	F	protein binding
	2232 bp					
12	KWMTBOMO00012	Bomo_Chr1	PREDICTED:_protein_DDI1_homolog_[Bombyx_mori]			
	651 bp					
13	KWMTBOMO00013	Bomo_Chr1				
	252 bp					
14	KWMTBOMO00014	Bomo_Chr1	Yokozuna_[Bombyx_mori]	GO:0015074	P	DNA integration
	3753 bp			GO:0003676	F	nucleic acid binding
				GO:0008270	F	zinc ion binding
