Trinity_ID	SB_ID	SB_chr	SB_start	SB_end	evalue	bitscore
KWMTBOMO00001	KWMTBOMO00001	Bomo_Chr1	20596	24779	0	2902.000000
KWMTBOMO00001	KWMTBOMO00798	Bomo_Chr2	3108807	3113024	0	2473.000000
KWMTBOMO00001	KWMTBOMO07817	Bomo_Chr13	7413363	7420047	0	1048.000000
KWMTBOMO00001	KWMTBOMO05682	Bomo_Chr10	8151663	8155801	0	825.000000
KWMTBOMO00001	KWMTBOMO15914	Bomo_Chr27	1983091	1987219	0	825.000000
KWMTBOMO00001	KWMTBOMO07503	Bomo_Chr12	15215108	15218396	0	825.000000
KWMTBOMO00001	KWMTBOMO15703	Bomo_Chr26	6918020	6922537	0	820.000000
KWMTBOMO00001	KWMTBOMO03163	Bomo_Chr6	550103	557989	0	627.000000
KWMTBOMO00001	KWMTBOMO06320	Bomo_Chr11	4740544	4744462	0	626.000000
KWMTBOMO00001	KWMTBOMO08319	Bomo_Chr14	5311165	5321218	0	625.000000
KWMTBOMO00001	KWMTBOMO00073	Bomo_Chr1	2186241	2190926	0	625.000000
KWMTBOMO00001	KWMTBOMO09256	Bomo_Chr15	14375328	14379256	0	625.000000
KWMTBOMO00001	KWMTBOMO03582	Bomo_Chr6	12983332	12987256	0	620.000000
KWMTBOMO00001	KWMTBOMO05905	Bomo_Chr10	14146366	14150655	0	619.000000
KWMTBOMO00001	KWMTBOMO08556	Bomo_Chr14	13070692	13073685	0	504.000000
KWMTBOMO00001	KWMTBOMO06009	Bomo_Chr10	16056734	16060881	0	503.000000
KWMTBOMO00001	KWMTBOMO05063	Bomo_Chr9	7002087	7006167	0	483.000000
KWMTBOMO00001	KWMTBOMO12015	Bomo_Chr20	5539921	5544072	0	481.000000
KWMTBOMO00001	KWMTBOMO14729	Bomo_Chr24	13813135	13817677	0	475.000000
KWMTBOMO00001	KWMTBOMO00573	Bomo_Chr1	17024224	17032456	0	475.000000
KWMTBOMO00001	KWMTBOMO13432	Bomo_Chr22	16807263	16811347	0	472.000000
KWMTBOMO00001	KWMTBOMO08423	Bomo_Chr14	8597533	8601612	0	464.000000
KWMTBOMO00001	KWMTBOMO04069	Bomo_Chr7	10603786	10607430	0	464.000000
KWMTBOMO00001	KWMTBOMO04252	Bomo_Chr8	1082057	1085905	0	458.000000
KWMTBOMO00001	KWMTBOMO10052	Bomo_Chr17	1132681	1136615	0	376.000000
KWMTBOMO00001	KWMTBOMO09027	Bomo_Chr15	9931166	9934838	0	352.000000
KWMTBOMO00001	KWMTBOMO02447	Bomo_Chr5	2190672	2194751	0	352.000000
KWMTBOMO00001	KWMTBOMO15400	Bomo_Chr25	11742486	11746817	0	336.000000
KWMTBOMO00001	KWMTBOMO09400	Bomo_Chr16	473997	479926	0	320.000000
KWMTBOMO00001	KWMTBOMO09345	Bomo_Chr15	17158540	17160594	1e-146	253.000000
KWMTBOMO00001	KWMTBOMO09855	Bomo_Chr16	10430379	10432037	8e-145	253.000000
KWMTBOMO00001	KWMTBOMO08306	Bomo_Chr14	4954015	4958679	2e-130	465.000000
KWMTBOMO00001	KWMTBOMO10648	Bomo_Chr18	41026	54530	9e-125	246.000000
KWMTBOMO00001	KWMTBOMO00926	Bomo_Chr2	6452127	6453021	1e-122	410.000000
KWMTBOMO00001	KWMTBOMO11770	Bomo_Chr19	14431791	14432685	2e-122	410.000000
KWMTBOMO00001	KWMTBOMO09178	Bomo_Chr15	12673996	12688142	2e-118	424.000000
KWMTBOMO00001	KWMTBOMO13863	Bomo_Chr23	11418185	11425188	1e-113	409.000000
KWMTBOMO00001	KWMTBOMO10192	Bomo_Chr17	4188853	4190179	1e-112	406.000000
KWMTBOMO00001	KWMTBOMO11801	Bomo_Chr20	296235	296813	3e-102	249.000000
KWMTBOMO00001	KWMTBOMO01067	Bomo_Chr3	1588816	1594630	2e-97	200.000000
KWMTBOMO00001	KWMTBOMO01343	Bomo_Chr3	8313225	8319824	2e-85	158.000000
KWMTBOMO00001	KWMTBOMO00819	Bomo_Chr2	3446471	3456246	3e-82	158.000000
KWMTBOMO00001	KWMTBOMO12147	Bomo_Chr20	8332897	8337017	6e-80	132.000000
KWMTBOMO00001	KWMTBOMO08374	Bomo_Chr14	7011987	7015776	8e-80	119.000000
KWMTBOMO00001	KWMTBOMO05899	Bomo_Chr10	13775360	13778488	1e-79	114.000000
KWMTBOMO00001	KWMTBOMO15905	Bomo_Chr27	1691642	1745239	3e-75	200.000000
KWMTBOMO00001	KWMTBOMO00094	Bomo_Chr1	2688957	2728729	3e-75	200.000000
KWMTBOMO00001	KWMTBOMO09315	Bomo_Chr15	15779241	15814974	3e-75	200.000000
KWMTBOMO00001	KWMTBOMO15615	Bomo_Chr26	4217019	4224333	3e-75	200.000000
KWMTBOMO00001	KWMTBOMO03292	Bomo_Chr6	3423966	3428482	3e-74	278.000000
KWMTBOMO00001	KWMTBOMO11755	Bomo_Chr19	13395674	13400792	6e-74	196.000000
KWMTBOMO00001	KWMTBOMO03844	Bomo_Chr7	4018179	4023179	6e-74	196.000000
KWMTBOMO00001	KWMTBOMO11783	Bomo_Chr19	14599134	14604181	6e-74	196.000000
KWMTBOMO00001	KWMTBOMO14733	Bomo_Chr24	13864781	13868741	2e-73	275.000000
KWMTBOMO00001	KWMTBOMO05367	Bomo_Chr9	15672916	15676884	2e-73	275.000000
KWMTBOMO00001	KWMTBOMO03187	Bomo_Chr6	992905	997422	2e-73	275.000000
KWMTBOMO00001	KWMTBOMO14665	Bomo_Chr24	12259507	12263471	2e-73	275.000000
KWMTBOMO00001	KWMTBOMO07728	Bomo_Chr13	5390642	5395148	4e-73	274.000000
KWMTBOMO00001	KWMTBOMO12638	Bomo_Chr21	9976362	9980167	2e-69	126.000000
KWMTBOMO00001	KWMTBOMO14514	Bomo_Chr24	9104209	9110863	2e-68	123.000000
KWMTBOMO00001	KWMTBOMO07898	Bomo_Chr13	9608999	9614361	2e-68	123.000000
KWMTBOMO00001	KWMTBOMO06141	Bomo_Chr11	1128094	1133548	3e-68	123.000000
KWMTBOMO00001	KWMTBOMO07525	Bomo_Chr12	15725974	15730336	4e-68	86.800000
KWMTBOMO00001	KWMTBOMO14332	Bomo_Chr24	2287875	2289244	4e-68	204.000000
KWMTBOMO00001	KWMTBOMO02181	Bomo_Chr4	13318114	13322676	6e-68	86.800000
KWMTBOMO00001	KWMTBOMO11466	Bomo_Chr19	6242574	6247943	7e-68	123.000000
KWMTBOMO00001	KWMTBOMO07240	Bomo_Chr12	8922130	8927499	7e-68	123.000000
KWMTBOMO00001	KWMTBOMO08419	Bomo_Chr14	8500027	8503092	4e-67	103.000000
KWMTBOMO00001	KWMTBOMO12326	Bomo_Chr20	12202040	12206733	6e-67	200.000000
KWMTBOMO00001	KWMTBOMO11815	Bomo_Chr20	743734	747079	2e-66	105.000000
KWMTBOMO00001	KWMTBOMO02948	Bomo_Chr5	14259756	14265942	2e-66	131.000000
