Bombyx mori Chromosome length (Silkbase)
Z	Bomo_Chr1:1..20666287 (20.67 Mb)
2	Bomo_Chr2:1..8396445 (8.4 Mb)
3	Bomo_Chr3:1..15212953 (15.21 Mb)
4	Bomo_Chr4:1..18737234 (18.74 Mb)
5	Bomo_Chr5:1..19061979 (19.06 Mb)
6	Bomo_Chr6:1..16650604 (16.65 Mb)
7	Bomo_Chr7:1..13944894 (13.94 Mb)
8	Bomo_Chr8:1..16262221 (16.26 Mb)
9	Bomo_Chr9:1..16796068 (16.8 Mb)
10	Bomo_Chr10:1..17614771 (17.61 Mb)
11	Bomo_Chr11:1..20440007 (20.44 Mb)
12	Bomo_Chr12:1..17580608 (17.58 Mb)
13	Bomo_Chr13:1..17735081 (17.74 Mb)
14	Bomo_Chr14:1..13345518 (13.35 Mb)
15	Bomo_Chr15:1..18440292 (18.44 Mb)
16	Bomo_Chr16:1..14337292 (14.34 Mb)
17	Bomo_Chr17:1..16840672 (16.84 Mb)
18	Bomo_Chr18:1..15699053 (15.7 Mb)
19	Bomo_Chr19:1..14801489 (14.8 Mb)
20	Bomo_Chr20:1..12370531 (12.37 Mb)
21	Bomo_Chr21:1..15310392 (15.31 Mb)
22	Bomo_Chr22:1..18482526 (18.48 Mb)
23	Bomo_Chr23:1..21465692 (21.47 Mb)
24	Bomo_Chr24:1..17359173 (17.36 Mb)
25	Bomo_Chr25:1..14548897 (14.55 Mb)
26	Bomo_Chr26:1..11473476 (11.47 Mb)
27	Bomo_Chr27:1..10930128 (10.93 Mb)
28	Bomo_Chr28:1..10609739 (10.61 Mb)
