Trinity_ID	SB_ID	SB_chr	SB_start	SB_end	evalue	bitscore
KWMTBOMO00001	KWMTBOMO00001	Bomo_Chr1	20596	24779	0	2902.000000
KWMTBOMO00002	KWMTBOMO16726	Bomo_Scaf139	7792	10285	0	719.000000
KWMTBOMO00003	KWMTBOMO00003	Bomo_Chr1	51976	71352	0	2234.000000
KWMTBOMO00004	KWMTBOMO00004	Bomo_Chr1	78818	80935	0	714.000000
KWMTBOMO00005	KWMTBOMO00005	Bomo_Chr1	86646	118755	0	1381.000000
KWMTBOMO00006	KWMTBOMO00006	Bomo_Chr1	125707	142035	0	724.000000
KWMTBOMO00007	KWMTBOMO00007	Bomo_Chr1	152176	201965	0	1081.000000
KWMTBOMO00008	KWMTBOMO00008	Bomo_Chr1	228886	232273	0	1761.000000
KWMTBOMO00009	KWMTBOMO00009	Bomo_Chr1	274749	310965	7e-49	188.000000
KWMTBOMO00010	KWMTBOMO00010	Bomo_Chr1	340776	343812	0	2245.000000
KWMTBOMO00011	KWMTBOMO00011	Bomo_Chr1	362976	389260	0	1692.000000
KWMTBOMO00012	KWMTBOMO00012	Bomo_Chr1	399008	400305	2e-147	518.000000
KWMTBOMO00013	KWMTBOMO00013	Bomo_Chr1	401938	403095	4e-53	203.000000
KWMTBOMO00014	KWMTBOMO00014	Bomo_Chr1	404906	408969	0	2791.000000
KWMTBOMO00015	KWMTBOMO00015	Bomo_Chr1	409880	424335	0	544.000000
KWMTBOMO00016	KWMTBOMO00016	Bomo_Chr1	429286	434308	0	2074.000000
KWMTBOMO00017	KWMTBOMO00017	Bomo_Chr1	446817	476015	0	554.000000
KWMTBOMO00018	KWMTBOMO00018	Bomo_Chr1	487676	496115	0	807.000000
KWMTBOMO00019	KWMTBOMO00019	Bomo_Chr1	511106	545938	0	995.000000
KWMTBOMO00020	KWMTBOMO00020	Bomo_Chr1	548703	550815	2e-51	198.000000
KWMTBOMO01767	KWMTBOMO01767	Bomo_Chr4	4116810	4145178	0	714.000000
