Trinity_ID	SB_ID	SB_chr	SB_start	SB_end	evalue	bitscore
KWMTBOMO00004	KWMTBOMO00004	Bomo_Chr1	78818	80935	0.0	714
KWMTBOMO00006	KWMTBOMO00006	Bomo_Chr1	125707	142035	0.0	724
KWMTBOMO00012	KWMTBOMO00012	Bomo_Chr1	399008	400305	1.78e-147	518
KWMTBOMO00015	KWMTBOMO00015	Bomo_Chr1	409880	424335	0.0	544
KWMTBOMO00017	KWMTBOMO00017	Bomo_Chr1	446817	476015	0.0	554
KWMTBOMO00018	KWMTBOMO00018	Bomo_Chr1	487676	496115	0.0	807
KWMTBOMO00019	KWMTBOMO00019	Bomo_Chr1	511106	545938	0.0	995
KWMTBOMO00021	KWMTBOMO00021	Bomo_Chr1	552536	553443	1.37e-140	495
KWMTBOMO00023	KWMTBOMO00023	Bomo_Chr1	605124	606255	0.0	801
KWMTBOMO00036	KWMTBOMO00036	Bomo_Chr1	1078135	1122035	0.0	1227
KWMTBOMO00039	KWMTBOMO00039	Bomo_Chr1	1268621	1271208	1.10e-99	359
KWMTBOMO00041	KWMTBOMO00041	Bomo_Chr1	1279414	1293310	8.25e-154	539
KWMTBOMO00047	KWMTBOMO00047	Bomo_Chr1	1343198	1359260	6.12e-166	580
KWMTBOMO00052	KWMTBOMO00052	Bomo_Chr1	1490071	1510551	0.0	757
KWMTBOMO00060	KWMTBOMO00060	Bomo_Chr1	1902689	1903950	0.0	788
KWMTBOMO00063	KWMTBOMO00063	Bomo_Chr1	1956168	1958266	4.41e-83	193
KWMTBOMO00065	KWMTBOMO00065	Bomo_Chr1	1983567	1991877	0.0	831
KWMTBOMO00066	KWMTBOMO00066	Bomo_Chr1	1996583	1997246	1.12e-89	325
KWMTBOMO00067	KWMTBOMO00067	Bomo_Chr1	2001182	2048656	0.0	1233
KWMTBOMO00068	KWMTBOMO00068	Bomo_Chr1	2052197	2058511	1.18e-92	336
KWMTBOMO00078	KWMTBOMO00078	Bomo_Chr1	2290057	2292870	0.0	615
KWMTBOMO00080	KWMTBOMO00080	Bomo_Chr1	2315357	2396025	0.0	1907
KWMTBOMO00087	KWMTBOMO00087	Bomo_Chr1	2535187	2535764	2.58e-87	318
KWMTBOMO00088	KWMTBOMO00088	Bomo_Chr1	2537347	2541009	5.91e-86	313
KWMTBOMO00089	KWMTBOMO00089	Bomo_Chr1	2555580	2565146	0.0	711
KWMTBOMO00090	KWMTBOMO00090	Bomo_Chr1	2572587	2588838	0.0	865
KWMTBOMO00099	KWMTBOMO00099	Bomo_Chr1	2963456	2999678	0.0	1377
KWMTBOMO00105	KWMTBOMO00105	Bomo_Chr1	3191446	3192665	6.79e-112	400
KWMTBOMO00106	KWMTBOMO00106	Bomo_Chr1	3201973	3219545	0.0	1756
KWMTBOMO00108	KWMTBOMO00108	Bomo_Chr1	3228498	3232575	0.0	659
KWMTBOMO00109	KWMTBOMO00109	Bomo_Chr1	3235536	3276378	0.0	2708
KWMTBOMO00122	KWMTBOMO00122	Bomo_Chr1	3785226	3789177	0.0	856
KWMTBOMO00124	KWMTBOMO00124	Bomo_Chr1	3794965	3802465	1.44e-152	535
KWMTBOMO00126	KWMTBOMO00126	Bomo_Chr1	3813486	3827560	0.0	852
KWMTBOMO00128	KWMTBOMO00128	Bomo_Chr1	3964119	3972675	1.32e-128	456
KWMTBOMO00130	KWMTBOMO00130	Bomo_Chr1	4159099	4192173	0.0	1797
KWMTBOMO00131	KWMTBOMO00131	Bomo_Chr1	4193229	4197405	0.0	1569
KWMTBOMO00135	KWMTBOMO00135	Bomo_Chr1	4282059	4285192	0.0	1309
KWMTBOMO00137	KWMTBOMO00137	Bomo_Chr1	4311959	4339684	2.27e-97	351
KWMTBOMO00150	KWMTBOMO00150	Bomo_Chr1	4729084	4742683	5.87e-112	400
KWMTBOMO00153	KWMTBOMO00153	Bomo_Chr1	4794825	4808223	0.0	1235
KWMTBOMO00154	KWMTBOMO00154	Bomo_Chr1	4810454	4817783	0.0	1224
KWMTBOMO00155	KWMTBOMO00155	Bomo_Chr1	4820184	4827858	0.0	1567
KWMTBOMO00156	KWMTBOMO00156	Bomo_Chr1	4831835	4927123	0.0	1686
KWMTBOMO00160	KWMTBOMO00160	Bomo_Chr1	5033747	5047459	0.0	2426
KWMTBOMO00168	KWMTBOMO00168	Bomo_Chr1	5307347	5311589	0.0	687
KWMTBOMO00172	KWMTBOMO00172	Bomo_Chr1	5504843	5527009	0.0	1184
KWMTBOMO00174	KWMTBOMO00174	Bomo_Chr1	5579653	5599430	0.0	1800
KWMTBOMO00176	KWMTBOMO00176	Bomo_Chr1	5616783	5617742	3.51e-98	354
KWMTBOMO00180	KWMTBOMO00180	Bomo_Chr1	5677196	5702272	0.0	1367
KWMTBOMO00186	KWMTBOMO00186	Bomo_Chr1	5963213	5965045	0.0	1153
KWMTBOMO00188	KWMTBOMO00188	Bomo_Chr1	5981723	5989978	0.0	1095
KWMTBOMO00192	KWMTBOMO00192	Bomo_Chr1	6151387	6157932	9.70e-98	352
KWMTBOMO00194	KWMTBOMO00194	Bomo_Chr1	6173933	6176142	7.74e-93	336
KWMTBOMO00195	KWMTBOMO00195	Bomo_Chr1	6178064	6184082	1.45e-122	435
KWMTBOMO00196	KWMTBOMO00196	Bomo_Chr1	6185423	6199727	0.0	845
KWMTBOMO00197	KWMTBOMO00197	Bomo_Chr1	6204113	6214189	0.0	835
KWMTBOMO00198	KWMTBOMO00198	Bomo_Chr1	6214214	6218332	0.0	909
KWMTBOMO00202	KWMTBOMO00202	Bomo_Chr1	6333263	6339681	1.00e-162	569
KWMTBOMO00203	KWMTBOMO00203	Bomo_Chr1	6341653	6357879	0.0	1853
KWMTBOMO00212	KWMTBOMO00212	Bomo_Chr1	6650913	6770380	0.0	675
KWMTBOMO00213	KWMTBOMO00213	Bomo_Chr1	6795625	6816114	0.0	1127
KWMTBOMO00217	KWMTBOMO00217	Bomo_Chr1	6971981	6984634	2.18e-171	598
KWMTBOMO00219	KWMTBOMO00219	Bomo_Chr1	7012303	7020984	0.0	680
KWMTBOMO00227	KWMTBOMO00227	Bomo_Chr1	7512341	7521947	0.0	1002
KWMTBOMO00235	KWMTBOMO00235	Bomo_Chr1	7995319	8005130	0.0	636
KWMTBOMO00237	KWMTBOMO00237	Bomo_Chr1	8017511	8026486	0.0	671
KWMTBOMO00240	KWMTBOMO00240	Bomo_Chr1	8191911	8236279	0.0	937
KWMTBOMO00241	KWMTBOMO00241	Bomo_Chr1	8252291	8263022	5.86e-88	320
KWMTBOMO00243	KWMTBOMO00243	Bomo_Chr1	8281781	8291324	0.0	883
KWMTBOMO00247	KWMTBOMO00247	Bomo_Chr1	8428230	8456525	2.34e-118	421
KWMTBOMO00250	KWMTBOMO00250	Bomo_Chr1	8493256	8499539	1.24e-136	482
KWMTBOMO00254	KWMTBOMO00254	Bomo_Chr1	8529615	8532965	1.99e-168	568
KWMTBOMO00257	KWMTBOMO00257	Bomo_Chr1	8572206	8575290	2.39e-173	232
KWMTBOMO00258	KWMTBOMO00258	Bomo_Chr1	8584718	8588455	0.0	1696
KWMTBOMO00260	KWMTBOMO00260	Bomo_Chr1	8613932	8615005	1.80e-168	588
KWMTBOMO00261	KWMTBOMO00261	Bomo_Chr1	8622832	8623865	3.06e-132	467
KWMTBOMO00262	KWMTBOMO00262	Bomo_Chr1	8627180	8630645	1.33e-112	402
KWMTBOMO00265	KWMTBOMO00265	Bomo_Chr1	8646146	8648792	9.39e-111	396
KWMTBOMO00267	KWMTBOMO00267	Bomo_Chr1	8672316	8681405	4.61e-176	614
KWMTBOMO00270	KWMTBOMO00270	Bomo_Chr1	8728156	8729167	1.44e-91	332
KWMTBOMO00272	KWMTBOMO00272	Bomo_Chr1	8765874	8779922	0.0	867
KWMTBOMO00273	KWMTBOMO00273	Bomo_Chr1	8786290	8795492	0.0	1132
KWMTBOMO00274	KWMTBOMO00274	Bomo_Chr1	8796089	8808232	0.0	2019
KWMTBOMO00276	KWMTBOMO00276	Bomo_Chr1	8843413	8845315	7.63e-145	510
KWMTBOMO00279	KWMTBOMO00279	Bomo_Chr1	8878643	8893820	0.0	1115
KWMTBOMO00280	KWMTBOMO00280	Bomo_Chr1	8897159	8911112	0.0	1367
KWMTBOMO00290	KWMTBOMO00290	Bomo_Chr1	9238978	9258037	0.0	1129
KWMTBOMO00294	KWMTBOMO00294	Bomo_Chr1	9325319	9341777	0.0	1853
KWMTBOMO00300	KWMTBOMO00300	Bomo_Chr1	9426678	9432317	0.0	1062
KWMTBOMO00302	KWMTBOMO00302	Bomo_Chr1	9447038	9451588	0.0	767
KWMTBOMO00304	KWMTBOMO00304	Bomo_Chr1	9488515	9489617	1.35e-130	462
KWMTBOMO00313	KWMTBOMO00313	Bomo_Chr1	9743541	9745824	6.51e-166	580
KWMTBOMO00316	KWMTBOMO00316	Bomo_Chr1	9779690	9785174	0.0	871
KWMTBOMO00317	KWMTBOMO00317	Bomo_Chr1	9787768	9797314	0.0	787
KWMTBOMO00318	KWMTBOMO00318	Bomo_Chr1	9798715	9801089	0.0	1173
KWMTBOMO00319	KWMTBOMO00319	Bomo_Chr1	9803835	9811704	0.0	3331
KWMTBOMO00320	KWMTBOMO00320	Bomo_Chr1	9818806	9823584	6.40e-93	336
KWMTBOMO00321	KWMTBOMO00321	Bomo_Chr1	9824026	9828644	0.0	834
KWMTBOMO00322	KWMTBOMO00322	Bomo_Chr1	9830225	9832606	9.82e-134	473
KWMTBOMO00330	KWMTBOMO00330	Bomo_Chr1	9997402	10013864	0.0	1004
KWMTBOMO00334	KWMTBOMO00334	Bomo_Chr1	10191379	10219820	0.0	1066
KWMTBOMO00335	KWMTBOMO00335	Bomo_Chr1	10230439	10231768	7.56e-156	546
KWMTBOMO00339	KWMTBOMO00339	Bomo_Chr1	10332189	10334568	5.60e-135	366
KWMTBOMO00341	KWMTBOMO00341	Bomo_Chr1	10364019	10365757	1.15e-135	479
KWMTBOMO00345	KWMTBOMO00345	Bomo_Chr1	10415199	10417892	0.0	1024
KWMTBOMO00346	KWMTBOMO00346	Bomo_Chr1	10417925	10419478	1.34e-104	375
KWMTBOMO00347	KWMTBOMO00347	Bomo_Chr1	10420439	10427409	0.0	691
KWMTBOMO00349	KWMTBOMO00349	Bomo_Chr1	10482873	10524564	0.0	1714
KWMTBOMO00353	KWMTBOMO00353	Bomo_Chr1	10584453	10611447	0.0	1381
KWMTBOMO00362	KWMTBOMO00362	Bomo_Chr1	10868168	10876575	4.45e-172	343
KWMTBOMO00363	KWMTBOMO00363	Bomo_Chr1	10888549	10901497	0.0	1715
KWMTBOMO00365	KWMTBOMO00365	Bomo_Chr1	10925808	10930038	1.15e-110	396
KWMTBOMO00366	KWMTBOMO00366	Bomo_Chr1	10940746	10965047	0.0	793
KWMTBOMO00368	KWMTBOMO00368	Bomo_Chr1	11030130	11063357	0.0	944
KWMTBOMO00382	KWMTBOMO00382	Bomo_Chr1	11306499	11360748	0.0	1004
KWMTBOMO00386	KWMTBOMO00386	Bomo_Chr1	11403510	11410178	0.0	1501
KWMTBOMO00388	KWMTBOMO00388	Bomo_Chr1	11423959	11450837	0.0	2355
KWMTBOMO00390	KWMTBOMO00390	Bomo_Chr1	11478066	11502518	0.0	765
KWMTBOMO00391	KWMTBOMO00391	Bomo_Chr1	11509509	11514399	7.67e-168	586
KWMTBOMO00393	KWMTBOMO00393	Bomo_Chr1	11553669	11558356	0.0	906
KWMTBOMO00394	KWMTBOMO00394	Bomo_Chr1	11559913	11569018	0.0	860
KWMTBOMO00399	KWMTBOMO00399	Bomo_Chr1	11761670	11765842	4.94e-108	387
KWMTBOMO00400	KWMTBOMO00400	Bomo_Chr1	11766443	11800784	0.0	1742
KWMTBOMO00406	KWMTBOMO00406	Bomo_Chr1	11897663	11927264	0.0	917
KWMTBOMO00407	KWMTBOMO00407	Bomo_Chr1	11930090	11938652	0.0	1503
KWMTBOMO00409	KWMTBOMO00409	Bomo_Chr1	11977060	11982992	4.58e-140	494
KWMTBOMO00415	KWMTBOMO00415	Bomo_Chr1	12274778	12279839	7.00e-177	571
KWMTBOMO00421	KWMTBOMO00421	Bomo_Chr1	12379058	12380489	1.14e-100	296
KWMTBOMO00422	KWMTBOMO00422	Bomo_Chr1	12394808	12396002	1.96e-86	307
KWMTBOMO00424	KWMTBOMO00424	Bomo_Chr1	12420438	12422168	1.14e-121	432
KWMTBOMO00425	KWMTBOMO00425	Bomo_Chr1	12433749	12467587	6.16e-152	308
KWMTBOMO00428	KWMTBOMO00428	Bomo_Chr1	12562200	12584701	0.0	799
KWMTBOMO00430	KWMTBOMO00430	Bomo_Chr1	12588571	12602151	1.04e-102	369
KWMTBOMO00435	KWMTBOMO00435	Bomo_Chr1	12766292	12788526	0.0	1127
KWMTBOMO00438	KWMTBOMO00438	Bomo_Chr1	12918941	12920844	0.0	1295
KWMTBOMO00439	KWMTBOMO00439	Bomo_Chr1	12922035	12946203	0.0	1989
KWMTBOMO00442	KWMTBOMO00442	Bomo_Chr1	12998965	13002618	2.67e-147	518
KWMTBOMO00444	KWMTBOMO00444	Bomo_Chr1	13077387	13101634	0.0	2770
KWMTBOMO00459	KWMTBOMO00459	Bomo_Chr1	13410119	13415200	9.18e-87	316
KWMTBOMO00462	KWMTBOMO00462	Bomo_Chr1	13453299	13462720	0.0	1296
KWMTBOMO00463	KWMTBOMO00463	Bomo_Chr1	13464091	13482415	0.0	685
KWMTBOMO00464	KWMTBOMO00464	Bomo_Chr1	13485011	13541167	0.0	738
KWMTBOMO00467	KWMTBOMO00467	Bomo_Chr1	13584701	13590297	1.96e-159	558
KWMTBOMO00468	KWMTBOMO00468	Bomo_Chr1	13647131	13661342	5.24e-89	276
KWMTBOMO00469	KWMTBOMO00469	Bomo_Chr1	13666151	13669954	1.87e-166	582
KWMTBOMO00471	KWMTBOMO00471	Bomo_Chr1	13681471	13690744	1.06e-88	322
KWMTBOMO00472	KWMTBOMO00472	Bomo_Chr1	13696971	13740609	0.0	1898
KWMTBOMO00473	KWMTBOMO00473	Bomo_Chr1	13750104	13764940	0.0	1161
KWMTBOMO00474	KWMTBOMO00474	Bomo_Chr1	13766271	13782814	0.0	798
KWMTBOMO00478	KWMTBOMO00478	Bomo_Chr1	13872258	13877648	0.0	701
KWMTBOMO00479	KWMTBOMO00479	Bomo_Chr1	13895298	13899609	4.76e-159	486
KWMTBOMO00480	KWMTBOMO00480	Bomo_Chr1	13903631	13905877	7.44e-106	380
KWMTBOMO00485	KWMTBOMO00485	Bomo_Chr1	13918143	13921017	5.46e-108	387
KWMTBOMO00495	KWMTBOMO00495	Bomo_Chr1	14106318	14124359	0.0	1847
KWMTBOMO00496	KWMTBOMO00496	Bomo_Chr1	14143678	14186084	0.0	628
KWMTBOMO00498	KWMTBOMO00498	Bomo_Chr1	14264849	14278371	1.95e-119	287
KWMTBOMO00510	KWMTBOMO00510	Bomo_Chr1	14678887	14681066	0.0	772
KWMTBOMO00523	KWMTBOMO00523	Bomo_Chr1	15271607	15276929	1.60e-175	612
KWMTBOMO00524	KWMTBOMO00524	Bomo_Chr1	15278243	15288189	0.0	1153
KWMTBOMO00525	KWMTBOMO00525	Bomo_Chr1	15296340	15372214	0.0	1272
KWMTBOMO00526	KWMTBOMO00526	Bomo_Chr1	15382989	15405459	0.0	854
KWMTBOMO00527	KWMTBOMO00527	Bomo_Chr1	15405790	15417762	0.0	1098
KWMTBOMO00528	KWMTBOMO00528	Bomo_Chr1	15425215	15429379	0.0	1450
KWMTBOMO00530	KWMTBOMO00530	Bomo_Chr1	15435443	15460709	0.0	758
KWMTBOMO00539	KWMTBOMO00539	Bomo_Chr1	15852546	15900727	0.0	1470
KWMTBOMO00540	KWMTBOMO00540	Bomo_Chr1	15914482	15952325	0.0	4579
KWMTBOMO00542	KWMTBOMO00542	Bomo_Chr1	16045600	16061069	0.0	684
KWMTBOMO00543	KWMTBOMO00543	Bomo_Chr1	16069510	16077745	1.44e-86	315
KWMTBOMO00544	KWMTBOMO00544	Bomo_Chr1	16089960	16101811	0.0	732
KWMTBOMO00545	KWMTBOMO00545	Bomo_Chr1	16116700	16127502	0.0	815
KWMTBOMO00551	KWMTBOMO00551	Bomo_Chr1	16344013	16355729	0.0	1011
KWMTBOMO00552	KWMTBOMO00552	Bomo_Chr1	16365047	16398129	0.0	1516
KWMTBOMO00553	KWMTBOMO00553	Bomo_Chr1	16413219	16439873	0.0	1125
KWMTBOMO00554	KWMTBOMO00554	Bomo_Chr1	16440349	16461353	0.0	3086
KWMTBOMO00557	KWMTBOMO00557	Bomo_Chr1	16523277	16541708	0.0	1117
KWMTBOMO00558	KWMTBOMO00558	Bomo_Chr1	16550429	16551794	0.0	764
KWMTBOMO00562	KWMTBOMO00562	Bomo_Chr1	16618559	16621681	1.38e-180	629
KWMTBOMO00563	KWMTBOMO00563	Bomo_Chr1	16627471	16696178	5.96e-121	430
KWMTBOMO00566	KWMTBOMO00566	Bomo_Chr1	16711789	16795466	1.57e-119	329
KWMTBOMO00567	KWMTBOMO00567	Bomo_Chr1	16810978	16825178	0.0	1165
